MinimumDistance,MaximumDistance,AverageDistance,StdDev,,
57.94951,133.65941,92.577095,11.423593,,
28.534742,134.45079,82.55388,17.811756,,
7.596985,98.75455,46.010666,14.082993,,
77.0862,151.20248,113.42533,11.848842,,
72.927635,158.22409,118.794304,13.823575,,
3.6103187,54.717636,35.23235,8.971846,,
30.439833,91.46957,58.410297,9.6916275,,
30.439833,91.46957,58.410297,9.6916275,,
64.73046,129.74225,95.72939,11.021963,,
38.841156,101.82879,67.79376,9.957805,,
38.841156,101.82879,67.79376,9.957805,,
33.902733,106.99018,69.65192,11.487105,,
36.57473,111.36168,73.489975,11.726107,,
65.359184,126.24886,94.060875,10.832603,,
23.415049,136.59528,81.93099,22.309755,,
25.064007,149.25058,85.81019,25.979418,,
24.19114,186.63568,105.4417,31.670292,,
5.9594297,137.81754,70.95945,24.645142,,
5.643873,127.6753,67.589485,23.69527,,
1.6286478,122.147484,56.091946,20.092093,,
2.9356582,172.9742,75.64971,32.283627,,
2.152616,114.35704,63.131496,19.453125,,
2.7576404,129.23311,60.257706,21.331352,,
5.0102954,191.57188,73.38917,31.574406,,
38.55128,128.82738,90.01589,17.813162,,
38.55128,128.82738,90.01589,17.813162,,
17.092676,141.43735,88.90133,27.414684,,
6.0963225,128.27415,69.85784,20.971025,,
6.0963225,128.27415,69.85784,20.971025,,
9.931669,154.56776,70.585205,23.422777,,
12.622329,120.79938,66.19508,20.654127,,
39.461708,142.52362,86.13353,21.111153,,
29.723219,134.53673,81.33753,21.826403,,
19.729345,134.02986,76.53478,18.503317,,
1.9534925,166.57095,83.59997,29.306498,,
151.74016,232.9747,192.87186,14.404222,,
8.180957,124.398346,64.311035,21.238672,,
166.76447,224.76721,194.25551,12.102694,,
0.53148204,52.465454,25.400051,8.638707,,
15.307577,127.83044,77.82904,30.02392,,
2.662183,76.90622,36.73408,11.835389,,
27.608467,87.21018,58.96237,11.118067,,
69.51932,133.02734,99.07846,11.239969,,
6.409111,49.859104,26.86212,8.017551,,
47.17106,106.13835,72.768105,9.685777,,
104.460434,198.15965,151.43996,16.06273,,
58.764084,108.34819,81.17549,8.742712,,
10.02451,82.80717,50.48005,11.30123,,
4.765864,85.71488,43.433895,11.760787,,
46.035233,163.75252,102.36172,22.359701,,
51.736973,172.61952,104.137184,23.436665,,
7.3030443,130.09448,60.737427,22.615898,,
2.6461105,138.54137,70.84695,22.426126,,
2.3153343,136.23561,70.19087,19.431087,,
1.5735725,152.7644,76.317345,26.896482,,
11.743433,74.95894,41.410362,10.044222,,
30.340155,134.86646,90.1373,18.81774,,
13.564412,83.06324,51.293663,12.478044,,
54.7428,136.68854,94.98994,13.614536,,
92.61639,125.07539,109.150085,6.6236515,,
45.060417,126.61883,87.125984,14.260311,,
45.060417,126.61883,87.125984,14.260311,,
136.66504,267.37518,195.79813,29.946949,,
62.685352,223.93185,145.8776,31.687014,,
61.968185,182.93484,114.003456,31.452358,,
61.968185,182.93484,114.003456,31.452358,,
61.968185,182.93484,114.003456,31.452358,,
15.079299,108.02148,58.700787,16.521832,,
8.873596,145.86122,82.50735,23.687626,,
27.121582,86.334236,54.88552,12.24658,,
18.316332,83.8833,52.193874,14.655231,,
28.091307,104.43895,60.67448,13.048471,,
51.7102,98.786995,76.253136,7.607046,,
86.12068,183.83406,136.24306,16.284576,,
31.418573,87.94555,55.730953,9.872418,,
31.418573,87.94555,55.730953,9.872418,,
1.4425747,92.43647,40.6756,16.246532,,
0.69381094,50.838814,21.994324,8.730376,,
0.83440125,50.13447,21.9219,8.608931,,
0.66281694,65.26443,23.47391,11.016537,,
5.9761987,138.70549,78.2588,24.64034,,
42.264347,99.434814,69.45838,10.081036,,
33.88181,115.87555,74.30451,12.783739,,
33.88181,115.87555,74.30451,12.783739,,
3.491194,78.3559,34.78728,18.285471,,
3.9932482,81.406815,35.249046,12.980183,,
1.5865234,76.39668,37.403683,11.984444,,
1.5163132,53.237305,23.225153,9.392731,,
1.5125726,69.90657,35.570377,14.803933,,
14.552687,85.861115,55.78165,13.626037,,
64.23639,153.445,109.92077,16.612192,,
288.10605,493.30713,381.073,37.263157,,
291.44107,426.1173,357.1898,27.909435,,
16.30936,63.50685,39.268417,7.826638,,
287.12045,483.46045,376.80634,36.268013,,
281.62732,479.83768,374.54517,36.142426,,
233.4321,412.5734,315.51086,34.103405,,
241.1303,477.19196,345.45145,38.7179,,
248.31467,488.1832,363.41174,38.95621,,
262.61896,450.1304,349.04276,35.031067,,
